word,en-US,it-IT,zh-TW,ja-JP,fr-FR,de-DE,es-ES,pt-PT,ru-RU,hi-IN,bn-BD,fa-IR,ta-IN,ar-SA,tr-TR,ko-KR,vi-VN,id-ID,th-TH,sw-KE
1 I,I,io,我,私,je,ich,yo,eu,я,मैं,আমি,من,நான்,أنا,ben,나,tôi,saya,ฉัน,mimi
2 you,you,tu,你,あなた,tu,du,tú,você,ты,तुम,তুমি,تو,நீ,أنت,sen,너,bạn,kamu,คุณ,wewe
3 we,we,noi,我們,私たち,nous,wir,nosotros,nós,мы,हम,আমরা,ما,நாம்,نحن,biz,우리,chúng tôi,kami,พวกเรา,sisi
4 this,this,questo,這個,これ,ceci,dies,dicho,isto,это,यह,এটা,این,இது,هذا,bu,이,đây,ini,นี้,hii
5 that,that,quello,那個,それ,cela,das,eso,isso,то,वह,ওটা,آن,அது,ذلك,şu,그,đó,itu,นั้น,hiyo
6 who?,who?,chi?,誰?,誰？,qui?,wer?,¿quién?,quem?,кто?,कौन?,কে?,کی?,யார்?,من؟,kim?,누구?,ai?,siapa?,ใคร?,nani?
7 what?,what?,che?,什麼?,何？,quoi?,was?,¿qué?,o que?,что?,क्या?,কি?,چه؟,என்ன?,ماذا؟,ne?,무엇?,gì?,apa?,อะไร?,nini?
8 not,not,non,不,ない,ne pas,nicht,no,não,не,नहीं,না,نه,இல்லை,ليس,değil,아니,không,tidak,ไม่,hapana
9 all,all,tutto,全部,すべて,tout,alles,todo,tudo,всё,सब,সব,همه,அனைத்து,الكل,hepsi,모두,tất cả,semua,ทั้งหมด,wote
10 many,many,molti,許多,多い,beaucoup,viele,muchos,muitos,много,कई,অনেক,بسیاری,பல,العديد,birçok,많은,nhiều,banyak,หลาย,wengi
11 one,one,uno,一,一,un,eins,uno,um,один,एक,এক,یک,ஒன்று,واحد,bir,하나,một,satu,หนึ่ง,moja
12 two,two,due,二,二,deux,zwei,dos,dois,два,दो,দুই,دو,இரண்டு,اثنان,iki,둘,hai,dua,สอง,mbili
13 big,big,grande,大,大きい,grand,groß,grande,grande,большой,बड़ा,বড়,بزرگ,பெரியது,كبير,büyük,큰,to,besar,ใหญ่,kubwa
14 long,long,lungo,長,長い,long,long, largo,longo,длинный,लंबा,লম্বা,دراز,நீண்ட,طويل,uzun,긴,dài,panjang,ยาว,ndefu
15 small,small,piccolo,小,小さい,petit,klein,pequeño,pequeno,маленький,छोटा,ছোট,کوچک,சிறியது,صغير,küçük,작은,nhỏ,kecil,เล็ก,ndogo
16 woman,woman,donna,女人,女, femme,Frau,mujer,mulher,женщина,महिला,মহিলা,زن,பெண்,امرأة,kadın,여자,phụ nữ,wanita,ผู้หญิง,mwanamke
17 man,man,uomo,男人,男,homme,Mann,hombre,homem,мужчина,आदमी,পুরুষ,مرد,ஆண்,رجل,erkek,남자,đàn ông,pria,ผู้ชาย,mwanaume
18 person,person,persona,人,人,personne,Person,persona,pessoa,человек,व्यक्ति,ব্যক্তি,شخص,நபர்,شخص,kişi,사람,người,orang,คน,mtu
19 fish,fish,pesce,魚,魚,poisson,Fisch,pez,peixe,рыба,मछली,মাছ,ماهی,மீன்,سمك,balık,물고기,cá,ikan,ปลา,samaki
20 bird,bird,uccello,鳥,鳥,oiseau,Vogel,pájaro,pássaro,птица,पक्षी,পাখি,پرنده,பறவை,طائر,kuş,새,chim,burung,นก,ndege
